Id,Outcome,Message,SourceUrl,SavedFile
BR9220,Failed,Exception: HttpRequestException,,
BR9204,Failed,Timeout,,
BR9282,Failed,HTTP 404,,
BR9284,Failed,HTTP 404,,
BR9260,Failed,HTTP 404,,
BR9277,Failed,HTTP 404,,
BR9281,Failed,HTTP 301,,
BR9269,Failed,Content-Type: text/html,,
BR9280,Failed,HTTP 404,,
BR9278,Failed,HTTP 403,,
BR9265,Failed,HTTP 404,,
BR9261,Failed,HTTP 404,,
BR9267,Failed,Exception: HttpRequestException,,
BR9191,Failed,Exception: HttpRequestException,,
BR9254,Failed,HTTP 404,,
BR9178,Failed,Exception: HttpRequestException,,
BR9256,Failed,HTTP 404,,
BR9241,Failed,HTTP 404,,
BR9246,Failed,Exception: HttpRequestException,,
BR9163,Failed,Exception: HttpRequestException,,
BR9235,Failed,Exception: HttpRequestException,,
BR9232,Downloaded,,http://www.aeca.es/noticias/memoria2010.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9232.pdf
BR9231,Failed,HTTP 404,,
BR9266,Failed,HTTP 503,,
BR9268,Failed,Exception: HttpRequestException,,
BR9259,Failed,HTTP 404,,
BR9263,Failed,HTTP 403,,
BR9257,Downloaded,,http://www.afdawn.co.za/images/ARFeb2011.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9257.pdf
BR9262,Failed,HTTP 404,,
BR9238,Failed,HTTP 404,,
BR9258,Failed,HTTP 404,,
BR9251,Failed,HTTP 404,,
BR9252,Failed,Exception: HttpRequestException,,
BR9250,Failed,HTTP 404,,
BR9247,Failed,Exception: HttpRequestException,,
BR9242,Failed,HTTP 404,,
BR9239,Downloaded,,http://www.aem-group.ru/static/images/Company/pgo/report2010.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9239.pdf
BR9240,Failed,HTTP 404,,
BR9166,Failed,Exception: HttpRequestException,,
BR9236,Failed,Content-Type: text/html,,
BR9233,Failed,Exception: HttpRequestException,,
BR9230,Failed,HTTP 404,,
BR9229,Failed,HTTP 404,,
BR9228,Failed,Exception: HttpRequestException,,
BR9226,Failed,HTTP 404,,
BR9223,Failed,HTTP 404,,
BR9218,Failed,HTTP 404,,
BR9217,Failed,HTTP 404,,
BR9213,Downloaded,,http://raportyspoleczne.pl/wp-content/uploads/2013/09/dokument_1_20111004161307_162.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9213.pdf
BR9183,Failed,HTTP 404,,
BR9174,Failed,Content-Type: text/html,,
BR9173,Failed,Exception: HttpRequestException,,
BR9170,Failed,HTTP 404,,
BR9168,Failed,HTTP 404,,
BR9285,Failed,HTTP 441,,
BR9276,Failed,Content-Type: text/html,,
BR9283,Failed,Exception: HttpRequestException,,
BR9274,Failed,HTTP 404,,
BR9270,Failed,HTTP 404,,
BR9271,Failed,HTTP 404,,
BR9255,Failed,Exception: HttpRequestException,,
BR9244,Failed,Content-Type: text/html,,
BR9253,Failed,Exception: HttpRequestException,,
BR9169,Failed,Exception: HttpRequestException,,
BR9214,Failed,HTTP 404,,
BR9210,Failed,Content-Type: text/html,,
BR9159,Failed,Content-Type: text/html,,
BR9202,Downloaded,,http://www.acefat.com/cat/acefat/compromis/MemoriaSostenibilitat_2009-2010.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9202.pdf
BR9200,Failed,Exception: HttpRequestException,,
BR9199,Failed,HTTP 404,,
BR9194,Failed,Content-Type: text/html,,
BR9196,Failed,Exception: HttpRequestException,,
BR9195,Failed,HTTP 403,,
BR9190,Failed,Exception: HttpRequestException,,
BR9160,Downloaded,,http://www.southafrica.to/transport/Airlines/1Time-flights/financial-statements/20101231-1time-audited.pdf,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9160.pdf
BR9158,Failed,Content-Type: text/html,,
BR9175,Failed,Exception: HttpRequestException,,
BR9171,Failed,HTTP 404,,
BR9161,Failed,Content-Type: text/html,,
BR9164,Failed,HTTP 404,,
BR9167,Failed,HTTP 404,,
BR9225,Failed,HTTP 404,,
BR9221,Failed,HTTP 404,,
BR9219,Failed,HTTP 404,,
BR9215,Failed,HTTP 404,,
BR9211,Failed,HTTP 403,,
BR9208,Failed,HTTP 404,,
BR9206,Failed,HTTP 406,,
BR9205,Failed,HTTP 404,,
BR9203,Failed,Exception: HttpRequestException,,
BR9198,Failed,HTTP 404,,
BR9192,Failed,HTTP 404,,
BR9180,Failed,HTTP 404,,
BR9184,Failed,HTTP 404,,
BR9188,Failed,Exception: HttpRequestException,,
BR9185,Failed,HTTP 404,,
BR9172,Failed,HTTP 404,,
BR9176,Failed,Exception: HttpRequestException,,
BR9162,Failed,Exception: HttpRequestException,,
BR9165,Failed,Exception: NotSupportedException,,
BR9220,Failed,Exception: HttpRequestException,,
BR9284,Failed,HTTP 404,,
BR9285,Failed,HTTP 441,,
BR9283,Failed,Exception: HttpRequestException,,
BR9277,Failed,HTTP 404,,
BR9280,Failed,HTTP 404,,
BR9274,Failed,HTTP 404,,
BR9269,Failed,Content-Type: text/html,,
BR9265,Failed,HTTP 404,,
BR9268,Failed,Exception: HttpRequestException,,
BR9262,Failed,HTTP 404,,
BR9261,Failed,HTTP 404,,
BR9254,Failed,HTTP 404,,
BR9258,Failed,HTTP 404,,
BR9253,Failed,Exception: HttpRequestException,,
BR9244,Failed,Content-Type: text/html,,
BR9242,Failed,HTTP 404,,
BR9241,Failed,HTTP 404,,
BR9240,Failed,HTTP 404,,
BR9239,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9239.pdf
BR9229,Failed,HTTP 404,,
BR9232,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9232.pdf
BR9231,Failed,HTTP 404,,
BR9225,Failed,HTTP 404,,
BR9223,Failed,HTTP 404,,
BR9210,Failed,Content-Type: text/html,,
BR9282,Failed,HTTP 404,,
BR9281,Failed,HTTP 301,,
BR9278,Failed,HTTP 403,,
BR9276,Failed,Content-Type: text/html,,
BR9271,Failed,HTTP 404,,
BR9270,Failed,HTTP 404,,
BR9267,Failed,Exception: HttpRequestException,,
BR9266,Failed,HTTP 503,,
BR9263,Failed,HTTP 403,,
BR9260,Failed,HTTP 404,,
BR9259,Failed,HTTP 404,,
BR9257,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9257.pdf
BR9256,Failed,HTTP 404,,
BR9255,Failed,Exception: HttpRequestException,,
BR9251,Failed,HTTP 404,,
BR9252,Failed,Exception: HttpRequestException,,
BR9250,Failed,HTTP 404,,
BR9247,Failed,Exception: HttpRequestException,,
BR9246,Failed,Exception: HttpRequestException,,
BR9238,Failed,HTTP 404,,
BR9236,Failed,Content-Type: text/html,,
BR9235,Failed,Exception: HttpRequestException,,
BR9233,Failed,Exception: HttpRequestException,,
BR9230,Failed,HTTP 404,,
BR9226,Failed,HTTP 404,,
BR9228,Failed,Exception: HttpRequestException,,
BR9221,Failed,HTTP 404,,
BR9219,Failed,HTTP 404,,
BR9215,Failed,HTTP 404,,
BR9217,Failed,HTTP 404,,
BR9214,Failed,HTTP 404,,
BR9213,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9213.pdf
BR9211,Failed,HTTP 403,,
BR9191,Failed,Exception: HttpRequestException,,
BR9206,Failed,HTTP 406,,
BR9205,Failed,HTTP 404,,
BR9178,Failed,Exception: HttpRequestException,,
BR9203,Failed,Exception: HttpRequestException,,
BR9200,Failed,Exception: HttpRequestException,,
BR9196,Failed,Exception: HttpRequestException,,
BR9198,Failed,HTTP 404,,
BR9190,Failed,Exception: HttpRequestException,,
BR9185,Failed,HTTP 404,,
BR9184,Failed,HTTP 404,,
BR9175,Failed,Exception: HttpRequestException,,
BR9161,Failed,Content-Type: text/html,,
BR9158,Failed,Content-Type: text/html,,
BR9204,Failed,Timeout,,
BR9218,Failed,HTTP 404,,
BR9208,Failed,HTTP 404,,
BR9199,Failed,HTTP 404,,
BR9202,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9202.pdf
BR9195,Failed,HTTP 403,,
BR9166,Failed,Exception: HttpRequestException,,
BR9194,Failed,Content-Type: text/html,,
BR9192,Failed,HTTP 404,,
BR9163,Failed,Exception: HttpRequestException,,
BR9188,Failed,Exception: HttpRequestException,,
BR9183,Failed,HTTP 404,,
BR9180,Failed,HTTP 404,,
BR9169,Failed,HTTP 404,,
BR9176,Failed,Exception: HttpRequestException,,
BR9174,Failed,Content-Type: text/html,,
BR9173,Failed,Exception: HttpRequestException,,
BR9172,Failed,HTTP 404,,
BR9171,Failed,HTTP 404,,
BR9170,Failed,HTTP 404,,
BR9168,Failed,HTTP 404,,
BR9164,Failed,HTTP 404,,
BR9167,Failed,HTTP 404,,
BR9165,Failed,Exception: NotSupportedException,,
BR9159,Failed,Content-Type: text/html,,
BR9162,Failed,Exception: HttpRequestException,,
BR9160,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9160.pdf
BR9282,Failed,HTTP 404,,
BR9285,Failed,HTTP 441,,
BR9281,Failed,HTTP 301,,
BR9277,Failed,HTTP 404,,
BR9278,Failed,HTTP 403,,
BR9269,Failed,Content-Type: text/html,,
BR9284,Failed,HTTP 404,,
BR9283,Failed,Exception: HttpRequestException,,
BR9280,Failed,HTTP 404,,
BR9276,Failed,Content-Type: text/html,,
BR9274,Failed,HTTP 404,,
BR9271,Failed,HTTP 404,,
BR9270,Failed,HTTP 404,,
BR9265,Failed,HTTP 404,,
BR9268,Failed,Exception: HttpRequestException,,
BR9267,Failed,Exception: HttpRequestException,,
BR9261,Failed,HTTP 404,,
BR9262,Failed,HTTP 404,,
BR9260,Failed,HTTP 404,,
BR9259,Failed,HTTP 404,,
BR9254,Failed,HTTP 404,,
BR9253,Failed,Exception: HttpRequestException,,
BR9251,Failed,HTTP 404,,
BR9246,Failed,Exception: HttpRequestException,,
BR9242,Failed,HTTP 404,,
BR9240,Failed,HTTP 404,,
BR9204,Failed,Timeout,,
BR9233,Failed,Exception: HttpRequestException,,
BR9232,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9232.pdf
BR9231,Failed,HTTP 404,,
BR9226,Failed,HTTP 404,,
BR9225,Failed,HTTP 404,,
BR9223,Failed,HTTP 404,,
BR9220,Failed,Exception: HttpRequestException,,
BR9266,Failed,HTTP 503,,
BR9263,Failed,HTTP 403,,
BR9258,Failed,HTTP 404,,
BR9257,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9257.pdf
BR9256,Failed,HTTP 404,,
BR9255,Failed,Exception: HttpRequestException,,
BR9244,Failed,Content-Type: text/html,,
BR9252,Failed,Exception: HttpRequestException,,
BR9250,Failed,HTTP 404,,
BR9247,Failed,Exception: HttpRequestException,,
BR9241,Failed,HTTP 404,,
BR9238,Failed,HTTP 404,,
BR9239,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9239.pdf
BR9236,Failed,Content-Type: text/html,,
BR9235,Failed,Exception: HttpRequestException,,
BR9230,Failed,HTTP 404,,
BR9229,Failed,HTTP 404,,
BR9228,Failed,Exception: HttpRequestException,,
BR9221,Failed,HTTP 404,,
BR9219,Failed,HTTP 404,,
BR9218,Failed,HTTP 404,,
BR9215,Failed,HTTP 404,,
BR9214,Failed,HTTP 404,,
BR9213,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9213.pdf
BR9217,Failed,HTTP 404,,
BR9211,Failed,HTTP 403,,
BR9210,Failed,Content-Type: text/html,,
BR9208,Failed,HTTP 404,,
BR9191,Failed,Exception: HttpRequestException,,
BR9202,SkippedExisting,Already exists,,C:\Users\JohnGrandtMarkvardHø\Desktop\Opgaver\Uge 4 & 5\Opgave-1-PDF-Downloader\PDF Downloader\Downloads\BR9202.pdf
BR9199,Failed,HTTP 404,,
BR9196,Failed,Exception: HttpRequestException,,
BR9195,Failed,HTTP 403,,
BR9194,Failed,Content-Type: text/html,,
BR9206,Failed,HTTP 406,,
BR9205,Failed,HTTP 404,,
BR9203,Failed,Exception: HttpRequestException,,
BR9200,Failed,Exception: HttpRequestException,,
BR9198,Failed,HTTP 404,,
BR9192,Failed,HTTP 404,,
BR9190,Failed,Exception: HttpRequestException,,
BR9178,Failed,Exception: HttpRequestException,,
BR9188,Failed,Exception: HttpRequestException,,
BR9185,Failed,HTTP 404,,
BR9184,Failed,HTTP 404,,
BR9183,Failed,HTTP 404,,
BR9180,Failed,HTTP 404,,
